start_time,end_time,o,h,l,c
2021-07-04 01:40:00,2021-07-04 05:40:00,34489.78,34872.25,34400.3,34841.99
2021-07-04 05:40:00,2021-07-04 09:40:00,34841.99,35727.0,34825.21,35423.79
2021-07-04 09:40:00,2021-07-04 13:40:00,35423.81,35620.0,35230.76,35369.01
2021-07-04 13:40:00,2021-07-04 17:40:00,35369.01,35687.54,35300.0,35540.75
2021-07-04 17:40:00,2021-07-04 21:40:00,35540.75,35886.0,35385.0,35782.71
2021-07-04 21:40:00,2021-07-05 01:40:00,35782.71,35967.85,34512.94,34643.58
2021-07-05 01:40:00,2021-07-05 05:40:00,34643.58,34699.35,34000.0,34197.35
2021-07-05 05:40:00,2021-07-05 09:40:00,34197.34,34438.23,34055.66,34305.83
2021-07-05 09:40:00,2021-07-05 13:40:00,34305.83,34558.99,33300.0,33629.15
2021-07-05 13:40:00,2021-07-05 17:40:00,33629.14,33777.0,33362.05,33387.06
2021-07-05 17:40:00,2021-07-05 21:40:00,33387.06,34274.33,33125.55,34088.58
2021-07-05 21:40:00,2021-07-06 01:40:00,34088.58,34210.0,33634.76,33877.33
2021-07-06 01:40:00,2021-07-06 05:40:00,33877.34,34850.0,33700.37,34831.51
2021-07-17 13:40:00,2021-07-17 17:40:00,31400.8,31870.43,31400.79,31657.32
2021-07-17 17:40:00,2021-07-17 21:40:00,31657.32,31920.0,31635.03,31813.38
2021-07-17 21:40:00,2021-07-18 01:40:00,31813.38,32435.0,31463.0,32282.36
2021-07-18 01:40:00,2021-07-18 05:40:00,32282.36,32295.77,32041.06,32069.57
2021-07-18 05:40:00,2021-07-18 09:40:00,32069.57,32106.75,31653.0,31776.25
2021-07-18 09:40:00,2021-07-18 13:40:00,31776.25,31868.53,31565.58,31690.39
2021-07-18 13:40:00,2021-07-18 17:40:00,31690.39,31750.0,31108.97,31505.75
2021-07-18 17:40:00,2021-07-18 21:40:00,31505.77,31763.11,31485.67,31658.94
2021-07-18 21:40:00,2021-07-19 01:40:00,31658.94,31943.0,31420.0,31492.96
2021-07-19 01:40:00,2021-07-19 05:40:00,31492.96,31790.89,31451.0,31691.46
2021-07-19 05:40:00,2021-07-19 09:40:00,31691.46,31899.0,31341.97,31457.67
2021-07-19 09:40:00,2021-07-19 13:40:00,31457.68,31466.66,30585.65,30673.09
2021-07-19 13:40:00,2021-07-19 17:40:00,30671.47,30980.0,30407.44,30803.67
2021-07-19 17:40:00,2021-07-19 21:40:00,30803.67,30886.19,30520.01,30781.24
2021-07-19 21:40:00,2021-07-20 01:40:00,30781.23,31063.07,30535.0,30657.84
2021-07-20 01:40:00,2021-07-20 05:40:00,30657.84,30695.11,29501.0,29652.37
2021-07-20 05:40:00,2021-07-20 09:40:00,29652.37,29888.18,29620.3,29688.05
2021-07-20 09:40:00,2021-07-20 13:40:00,29688.06,29789.41,29278.0,29473.53
2021-07-20 13:40:00,2021-07-20 17:40:00,29473.52,29988.0,29279.13,29668.14
2021-07-21 09:40:00,2021-07-21 13:40:00,30899.11,31720.0,30844.12,31559.99
2021-07-21 13:40:00,2021-07-21 17:40:00,31559.99,32428.57,31442.24,32051.17
2021-07-21 17:40:00,2021-07-21 21:40:00,32051.16,32858.0,31516.3,31959.22
2021-07-21 21:40:00,2021-07-22 01:40:00,31960.78,32376.78,31800.0,31953.8
2021-07-22 01:40:00,2021-07-22 05:40:00,31953.79,32213.0,31777.0,31977.48
2021-07-22 05:40:00,2021-07-22 09:40:00,31977.48,32344.9,31753.23,31809.17
2021-07-22 09:40:00,2021-07-22 13:40:00,31809.17,32247.99,31708.0,32094.17
2021-07-22 13:40:00,2021-07-22 17:40:00,32094.17,32591.35,31975.03,32387.59
2021-07-22 17:40:00,2021-07-22 21:40:00,32387.59,32436.31,32201.0,32294.99
2021-07-22 21:40:00,2021-07-23 01:40:00,32294.99,32700.0,32051.85,32627.05
2021-07-23 01:40:00,2021-07-23 05:40:00,32627.04,32915.0,32485.35,32754.2
2021-07-23 05:40:00,2021-07-23 09:40:00,32754.2,32760.74,32266.0,32397.39
2021-07-23 09:40:00,2021-07-23 13:40:00,32397.39,32495.0,32210.0,32432.91
2021-07-23 13:40:00,2021-07-23 17:40:00,32435.82,32599.86,31924.32,32165.4
2021-07-23 17:40:00,2021-07-23 21:40:00,32165.41,32630.11,32061.16,32587.9
2021-07-23 21:40:00,2021-07-24 01:40:00,32587.91,33777.0,32573.7,33469.34
2021-07-24 01:40:00,2021-07-24 05:40:00,33465.65,33845.41,33461.79,33674.59
2021-07-24 05:40:00,2021-07-24 09:40:00,33674.58,33934.25,33542.4,33743.11
2021-07-24 09:40:00,2021-07-24 13:40:00,33742.0,34065.71,33680.0,33866.02
2021-07-24 13:40:00,2021-07-24 17:40:00,33866.01,34500.0,33720.01,34308.98
2021-07-24 17:40:00,2021-07-24 21:40:00,34308.98,34404.75,33667.01,33919.99
2021-07-24 21:40:00,2021-07-25 01:40:00,33920.0,34436.44,33840.3,34003.18
2021-07-25 01:40:00,2021-07-25 05:40:00,34003.18,34600.0,33851.12,34332.36
2021-07-25 05:40:00,2021-07-25 09:40:00,34332.36,34800.0,34270.03,34453.85
2021-07-25 09:40:00,2021-07-25 13:40:00,34453.85,34580.76,34035.0,34098.16
2021-07-25 13:40:00,2021-07-25 17:40:00,34098.16,34449.41,33862.45,34397.43
2021-07-25 17:40:00,2021-07-25 21:40:00,34397.3,34600.0,34185.23,34540.89
2021-07-25 21:40:00,2021-07-26 01:40:00,34540.89,39799.97,34451.51,38390.19
2021-07-26 01:40:00,2021-07-26 05:40:00,38390.59,38827.12,37844.72,38422.86
2021-07-26 05:40:00,2021-07-26 09:40:00,38422.86,39265.17,37661.7,38225.27
2021-07-26 09:40:00,2021-07-26 13:40:00,38226.57,38880.0,37902.0,38295.35
2021-07-26 13:40:00,2021-07-26 17:40:00,38295.35,39484.0,38157.4,39318.75
2021-07-26 17:40:00,2021-07-26 21:40:00,39318.75,40550.0,36889.01,36900.0
2021-07-26 21:40:00,2021-07-27 01:40:00,36899.99,37745.0,36751.14,36809.34
2021-07-27 01:40:00,2021-07-27 05:40:00,36814.6,37213.48,36383.0,37082.54
2021-07-27 05:40:00,2021-07-27 09:40:00,37082.53,37450.0,36929.41,37353.7
2021-07-27 09:40:00,2021-07-27 13:40:00,37353.69,38749.98,37260.1,38724.28
2021-07-27 13:40:00,2021-07-27 17:40:00,38724.28,38771.91,37566.12,37780.01
2021-07-27 17:40:00,2021-07-27 21:40:00,37780.0,38468.1,37350.0,38382.02
2021-07-27 21:40:00,2021-07-28 01:40:00,38382.03,39562.23,38123.79,39369.99
2021-07-28 01:40:00,2021-07-28 05:40:00,39369.98,40350.0,39341.16,40036.5
2021-07-28 05:40:00,2021-07-28 09:40:00,40036.51,40183.67,39226.76,39732.65
2021-07-28 09:40:00,2021-07-28 13:40:00,39732.65,40900.0,39429.17,39707.74
2021-07-28 13:40:00,2021-07-28 17:40:00,39707.73,40247.99,39155.26,39335.91
2021-07-28 17:40:00,2021-07-28 21:40:00,39335.9,40680.07,38772.0,40074.16
2021-07-28 21:40:00,2021-07-29 01:40:00,40074.15,40278.48,39200.0,39601.28
2021-07-29 01:40:00,2021-07-29 05:40:00,39601.28,40115.53,39485.11,40012.57
2021-07-29 05:40:00,2021-07-29 09:40:00,40012.58,40270.53,39676.04,40182.6
2021-07-29 09:40:00,2021-07-29 13:40:00,40182.6,40640.0,39450.0,39792.85
2021-07-29 13:40:00,2021-07-29 17:40:00,39792.85,40177.0,39630.17,39668.77
2021-07-29 17:40:00,2021-07-29 21:40:00,39668.78,39928.94,39390.0,39576.27
